district,season,crop,soil,area,rainfall,temperature,yield
Tiruppur,Summer,Chilli,Black,9.21,100.2,27.7,3.43
Salem,Kharif,Chilli,Clay,0.86,227.1,35.3,1.68
Cuddalore,Rabi,Sesame,Loamy,8.92,79.1,21.2,0.58
Dindigul,Kharif,Coconut,Red,11.24,177.5,27.1,4.2
Dindigul,Kharif,Millets,Alluvial,3.9,318.1,30.2,1.15
Tiruppur,Rabi,Coconut,Red,8.22,39.3,25.1,3.13
Trichy,Kharif,Sugarcane,Loamy,4.15,126.9,20.8,3.64
Thanjavur,Kharif,Sugarcane,Loamy,2.86,294.3,22.4,4.81
Namakkal,Kharif,Green Gram,Clay,4.65,119.9,30.8,1.06
Tirunelveli,Rabi,Cotton,Clay,8.95,158.6,24.2,1.76
Cuddalore,Kharif,Rice,Black,2.79,65.3,21.7,3.09
Tiruppur,Summer,Sugarcane,Red,6.52,71.0,23.9,4.47
Coimbatore,Summer,Ragi,Loamy,4.27,63.5,20.4,2.33
Trichy,Summer,Rice,Red,10.06,61.8,25.3,4.02
Cuddalore,Rabi,Sugarcane,Clay,8.97,149.7,26.0,3.96
Coimbatore,Summer,Green Gram,Alluvial,10.94,99.7,25.9,0.9
Madurai,Kharif,Sugarcane,Red,3.93,85.7,21.4,3.55
Thoothukudi,Kharif,Sunflower,Red,2.35,308.6,25.0,1.06
Villupuram,Rabi,Sunflower,Clay,7.34,132.5,24.2,1.23
Tirunelveli,Summer,Coconut,Black,9.58,95.6,31.0,3.16
Thoothukudi,Rabi,Soybean,Black,1.85,118.4,33.3,1.93
Dindigul,Kharif,Green Gram,Red,1.57,170.8,41.5,0.78
Cuddalore,Summer,Coconut,Clay,7.09,44.5,33.1,3.1
Namakkal,Rabi,Sesame,Alluvial,2.27,75.0,26.2,0.63
Salem,Kharif,Sugarcane,Loamy,0.95,159.9,22.6,4.21
Tirunelveli,Rabi,Chilli,Black,7.32,30.8,37.6,2.05
Kancheepuram,Rabi,Black Gram,Loamy,6.59,106.3,24.3,1.13
Vellore,Rabi,Black Gram,Black,6.67,144.7,41.8,0.98
Villupuram,Rabi,Soybean,Black,10.12,130.7,25.7,1.71
Tirunelveli,Kharif,Sesame,Clay,11.46,145.8,28.8,0.67
Thanjavur,Kharif,Maize,Red,10.3,232.5,22.1,2.14
Madurai,Summer,Green Gram,Alluvial,10.14,41.4,19.1,0.6
Cuddalore,Kharif,Millets,Loamy,9.36,300.1,28.2,1.09
Tirunelveli,Summer,Banana,Alluvial,10.28,105.6,24.2,5.46
Salem,Kharif,Turmeric,Alluvial,2.9,156.4,40.5,3.03
Tiruppur,Kharif,Sunflower,Alluvial,9.3,125.3,38.8,1.09
Trichy,Summer,Turmeric,Black,9.42,67.0,23.6,3.57
Cuddalore,Kharif,Ragi,Black,10.85,246.4,21.7,1.73
Dindigul,Rabi,Sunflower,Alluvial,0.89,115.8,39.5,1.45
Salem,Summer,Sesame,Alluvial,4.77,33.5,19.2,0.37
Namakkal,Kharif,Sesame,Red,11.6,277.0,31.0,0.81
Namakkal,Kharif,Groundnut,Loamy,2.21,272.9,18.7,1.07
Vellore,Kharif,Sunflower,Black,3.37,95.1,19.4,1.85
Villupuram,Summer,Chilli,Clay,2.27,49.5,20.9,2.39
Coimbatore,Summer,Ragi,Alluvial,5.68,23.4,24.4,1.69
Tirunelveli,Kharif,Rice,Clay,1.91,176.9,21.4,4.35
Thanjavur,Rabi,Banana,Alluvial,6.75,31.6,35.4,3.34
Namakkal,Kharif,Sesame,Clay,7.87,119.8,27.5,0.62
Thanjavur,Summer,Soybean,Alluvial,6.38,46.9,28.6,1.49
Dindigul,Rabi,Groundnut,Black,4.44,155.6,31.2,1.09
Vellore,Rabi,Chilli,Alluvial,3.53,63.6,41.6,2.14
Cuddalore,Kharif,Turmeric,Loamy,8.35,221.6,23.5,5.31
Coimbatore,Kharif,Sesame,Black,6.05,165.4,40.0,0.52
Thanjavur,Summer,Coconut,Loamy,6.25,49.2,37.6,2.83
Villupuram,Kharif,Turmeric,Red,11.76,237.0,40.7,3.07
Thoothukudi,Summer,Chilli,Loamy,5.19,28.9,26.3,2.97
Trichy,Kharif,Soybean,Red,3.11,164.4,29.9,1.62
Tiruppur,Summer,Banana,Black,8.42,13.2,38.5,1.8
Cuddalore,Summer,Millets,Loamy,7.71,18.2,40.7,0.93
Tiruppur,Rabi,Chilli,Black,10.16,121.4,40.7,1.76
Thoothukudi,Kharif,Cotton,Black,4.16,255.5,22.3,1.53
Erode,Kharif,Sunflower,Loamy,6.8,86.2,39.8,1.16
Kancheepuram,Rabi,Rice,Red,8.62,92.6,31.5,3.49
Cuddalore,Rabi,Sesame,Alluvial,2.01,53.6,19.9,0.71
Vellore,Summer,Coconut,Black,5.83,85.2,31.9,2.74
Coimbatore,Summer,Green Gram,Black,10.97,15.6,41.1,0.68
Thoothukudi,Kharif,Millets,Clay,5.6,257.8,38.1,0.75
Erode,Kharif,Cotton,Alluvial,1.51,83.2,35.8,1.46
Thanjavur,Summer,Turmeric,Black,6.05,15.8,25.9,3.46
Thanjavur,Summer,Chilli,Loamy,5.58,109.8,38.1,2.5
Cuddalore,Kharif,Black Gram,Red,5.38,286.1,18.5,0.68
Vellore,Rabi,Groundnut,Red,8.18,67.9,30.5,2.55
Salem,Kharif,Maize,Loamy,4.8,167.1,31.5,2.48
Vellore,Kharif,Black Gram,Red,5.04,141.5,39.0,1.04
Trichy,Rabi,Groundnut,Alluvial,11.68,116.5,23.9,2.12
Kancheepuram,Summer,Sunflower,Alluvial,2.28,83.1,36.2,1.33
Villupuram,Summer,Groundnut,Loamy,7.04,14.1,25.8,2.45
Thoothukudi,Summer,Coconut,Black,10.82,38.9,25.7,3.26
Villupuram,Kharif,Sesame,Clay,8.99,217.1,25.4,0.35
Trichy,Rabi,Ragi,Alluvial,5.94,102.0,38.6,0.99
Namakkal,Summer,Green Gram,Loamy,2.45,99.9,38.0,1.04
Coimbatore,Kharif,Sunflower,Loamy,11.52,294.1,19.7,0.95
Kancheepuram,Rabi,Groundnut,Red,3.58,49.3,31.5,2.15
Kancheepuram,Rabi,Millets,Black,0.85,47.1,24.5,1.82
Vellore,Kharif,Rice,Black,0.53,177.1,32.3,3.66
Coimbatore,Summer,Green Gram,Alluvial,5.57,21.1,22.4,0.8
Cuddalore,Rabi,Rice,Black,2.52,154.1,30.4,3.96
Salem,Kharif,Sunflower,Black,1.67,142.9,41.3,1.01
Madurai,Rabi,Cotton,Red,0.61,116.4,35.2,1.41
Erode,Kharif,Banana,Black,5.31,260.4,33.2,4.73
Salem,Summer,Ragi,Black,6.7,29.3,27.5,2.12
Villupuram,Summer,Green Gram,Alluvial,2.28,71.9,36.7,0.87
Vellore,Kharif,Green Gram,Loamy,9.68,248.2,29.5,0.96
Trichy,Kharif,Banana,Loamy,4.54,166.1,36.0,4.74
Madurai,Kharif,Sesame,Alluvial,11.29,253.6,37.9,0.59
Tiruppur,Summer,Sunflower,Red,10.5,99.8,22.7,1.64
Dindigul,Rabi,Banana,Loamy,0.54,154.2,25.9,4.35
Tirunelveli,Summer,Sesame,Clay,9.38,23.1,23.0,0.58
Salem,Summer,Rice,Loamy,8.43,96.1,32.6,3.91
Erode,Kharif,Groundnut,Red,3.71,218.5,29.9,1.19
Villupuram,Kharif,Millets,Loamy,4.72,156.9,31.3,1.17
Madurai,Kharif,Banana,Black,11.56,143.4,35.1,4.07
Vellore,Kharif,Turmeric,Loamy,8.72,151.0,25.0,5.51
Cuddalore,Kharif,Chilli,Black,4.63,136.3,30.9,2.7
Vellore,Summer,Green Gram,Black,2.84,89.4,40.3,0.92
Dindigul,Summer,Sunflower,Loamy,7.75,81.0,27.6,1.01
Cuddalore,Rabi,Sugarcane,Clay,6.08,158.8,28.1,6.53
Salem,Rabi,Turmeric,Loamy,0.55,24.5,19.9,3.47
Coimbatore,Summer,Turmeric,Red,10.58,70.2,23.9,4.67
Cuddalore,Rabi,Banana,Alluvial,1.65,90.5,23.5,6.46
Namakkal,Rabi,Green Gram,Alluvial,10.77,104.0,24.8,0.64
Coimbatore,Rabi,Sunflower,Alluvial,3.22,72.1,37.0,1.02
Madurai,Kharif,Maize,Black,1.95,170.1,41.7,1.97
Dindigul,Rabi,Sesame,Alluvial,5.78,51.3,39.0,0.29
Thoothukudi,Kharif,Coconut,Alluvial,10.81,147.0,41.4,2.83
Trichy,Rabi,Chilli,Clay,11.45,20.2,41.9,2.04
Trichy,Kharif,Soybean,Black,4.23,218.8,35.1,1.26
Cuddalore,Rabi,Turmeric,Loamy,3.64,60.2,23.7,3.83
Villupuram,Summer,Chilli,Alluvial,9.55,62.0,27.5,2.94
Tirunelveli,Rabi,Chilli,Black,7.63,59.1,31.0,3.21
Thanjavur,Summer,Turmeric,Loamy,0.68,26.8,19.0,3.24
Kancheepuram,Rabi,Sugarcane,Alluvial,9.49,86.5,35.3,6.29
Tirunelveli,Rabi,Groundnut,Black,5.4,59.9,27.3,2.11
Trichy,Rabi,Groundnut,Alluvial,9.49,142.7,23.5,1.9
Coimbatore,Summer,Black Gram,Red,5.16,37.4,20.5,1.04
Villupuram,Kharif,Maize,Alluvial,3.8,199.1,34.5,3.06
Villupuram,Summer,Groundnut,Black,1.95,61.5,37.3,0.52
Salem,Kharif,Groundnut,Red,7.27,119.1,35.9,1.72
Thoothukudi,Kharif,Coconut,Clay,5.97,279.9,30.6,2.64
Trichy,Kharif,Groundnut,Loamy,10.54,145.0,30.9,2.09
Cuddalore,Rabi,Black Gram,Black,11.65,85.4,34.7,1.33
Erode,Summer,Rice,Red,4.48,54.2,24.2,3.18
Dindigul,Summer,Sugarcane,Red,2.67,98.4,20.1,3.15
Vellore,Rabi,Green Gram,Loamy,7.01,157.3,39.5,0.93
Thanjavur,Summer,Coconut,Red,8.77,76.4,29.1,3.07
Thanjavur,Summer,Chilli,Black,2.58,54.6,34.9,2.31
Thanjavur,Kharif,Coconut,Alluvial,0.76,205.2,27.5,4.48
Dindigul,Summer,Ragi,Clay,10.84,56.2,40.2,1.36
Salem,Kharif,Millets,Loamy,8.96,86.4,19.5,0.81
Cuddalore,Summer,Millets,Red,5.15,24.1,37.8,0.92
Thanjavur,Summer,Banana,Black,2.8,67.0,35.9,2.16
Tirunelveli,Rabi,Soybean,Alluvial,7.76,64.3,26.2,1.86
Villupuram,Kharif,Cotton,Black,1.71,143.9,34.5,1.7
Erode,Summer,Maize,Red,9.29,104.8,31.8,3.84
Thanjavur,Summer,Groundnut,Clay,5.41,90.6,37.2,0.8
Madurai,Rabi,Chilli,Clay,8.72,124.5,34.7,2.21
Madurai,Summer,Sesame,Black,1.06,105.8,37.5,0.36
Tirunelveli,Rabi,Ragi,Black,5.91,25.3,35.7,1.77
Tirunelveli,Kharif,Cotton,Alluvial,11.01,124.9,30.9,1.51
Trichy,Rabi,Maize,Black,3.35,59.8,33.0,3.22
Thanjavur,Rabi,Millets,Red,7.1,126.2,38.0,1.02
Tirunelveli,Kharif,Sesame,Alluvial,7.61,296.3,22.2,0.48
Thoothukudi,Summer,Groundnut,Clay,10.78,56.8,21.3,1.4
Salem,Summer,Groundnut,Black,6.72,105.5,28.2,1.76
Dindigul,Rabi,Sesame,Clay,4.93,52.0,33.6,0.72
Coimbatore,Summer,Ragi,Alluvial,6.76,107.5,41.4,1.16
Namakkal,Rabi,Soybean,Red,2.9,141.2,35.9,1.16
Trichy,Rabi,Black Gram,Clay,9.73,153.3,22.0,1.06
Erode,Rabi,Coconut,Red,10.0,49.4,30.8,3.18
Erode,Rabi,Sunflower,Clay,1.14,73.7,34.8,1.0
Tirunelveli,Kharif,Coconut,Black,4.67,312.1,24.7,3.26
Coimbatore,Summer,Chilli,Alluvial,8.99,64.7,37.4,2.14
Cuddalore,Kharif,Sugarcane,Clay,4.38,277.3,35.7,7.21
Trichy,Rabi,Cotton,Black,3.41,90.8,29.1,2.35
Thoothukudi,Rabi,Green Gram,Clay,7.01,85.7,30.4,0.99
Madurai,Rabi,Green Gram,Alluvial,7.93,116.0,36.6,0.86
Salem,Kharif,Sunflower,Black,9.86,70.5,36.7,1.42
Coimbatore,Rabi,Soybean,Alluvial,7.16,58.3,37.9,0.7
Thoothukudi,Summer,Chilli,Alluvial,7.89,109.6,23.4,3.18
Tiruppur,Rabi,Millets,Clay,7.4,130.7,28.9,1.1
Erode,Rabi,Green Gram,Black,4.46,45.6,26.3,0.8
Namakkal,Rabi,Ragi,Red,7.35,121.4,23.2,2.14
Erode,Summer,Turmeric,Alluvial,10.71,109.6,23.0,3.91
Erode,Rabi,Millets,Alluvial,7.49,48.6,29.1,1.59
Cuddalore,Kharif,Millets,Red,6.73,317.6,27.3,1.38
Villupuram,Kharif,Soybean,Black,5.99,218.5,25.1,1.93
Vellore,Summer,Coconut,Red,1.55,67.4,41.4,2.91
Trichy,Kharif,Sunflower,Clay,0.58,106.1,33.6,0.69
Trichy,Summer,Banana,Loamy,10.29,108.7,21.0,4.89
Tirunelveli,Kharif,Sunflower,Black,10.98,131.2,39.5,1.35
Cuddalore,Summer,Millets,Clay,4.07,21.2,27.7,1.36
Coimbatore,Rabi,Soybean,Red,8.24,143.4,21.9,2.08
Cuddalore,Summer,Chilli,Red,6.73,34.4,18.1,1.75
Kancheepuram,Rabi,Sunflower,Clay,4.84,20.7,21.2,1.28
Thoothukudi,Kharif,Soybean,Red,4.32,176.7,27.8,1.85
Namakkal,Summer,Ragi,Loamy,7.71,79.2,18.1,2.12
Cuddalore,Kharif,Sesame,Clay,11.6,216.6,36.8,0.45
Tiruppur,Rabi,Green Gram,Red,3.45,153.7,23.3,1.03
Erode,Kharif,Sunflower,Black,0.58,87.5,18.0,1.75
Trichy,Rabi,Soybean,Clay,1.2,144.6,34.8,0.8
Salem,Kharif,Chilli,Loamy,9.43,132.3,19.7,1.8
Villupuram,Kharif,Sunflower,Alluvial,10.09,260.2,28.7,1.05
Kancheepuram,Kharif,Black Gram,Loamy,5.24,173.9,30.0,0.84
Namakkal,Rabi,Millets,Black,1.13,52.2,19.1,1.44
Villupuram,Kharif,Soybean,Black,10.44,224.5,24.5,1.72
Villupuram,Rabi,Ragi,Loamy,7.51,156.7,24.7,1.82
Namakkal,Rabi,Groundnut,Alluvial,1.42,98.5,19.8,1.74
Kancheepuram,Kharif,Chilli,Loamy,1.86,102.9,37.3,2.52
Trichy,Kharif,Cotton,Black,10.02,74.5,21.3,1.75
Vellore,Kharif,Turmeric,Red,5.03,263.2,33.7,2.89
Kancheepuram,Summer,Coconut,Black,10.13,20.5,38.2,1.77
Kancheepuram,Rabi,Turmeric,Loamy,8.11,67.3,41.0,2.99
Tiruppur,Summer,Banana,Red,9.76,101.3,38.7,3.32
Madurai,Rabi,Soybean,Loamy,10.4,44.6,36.7,1.0
Erode,Rabi,Sunflower,Red,1.69,42.1,27.5,1.79
Thoothukudi,Rabi,Cotton,Black,10.04,55.4,25.3,1.92
Thanjavur,Kharif,Cotton,Loamy,11.64,289.9,37.6,0.9
Villupuram,Kharif,Ragi,Red,5.39,217.1,23.4,1.5
Dindigul,Rabi,Sesame,Loamy,1.07,44.2,33.9,0.46
Salem,Kharif,Black Gram,Black,1.94,253.2,33.9,1.07
Salem,Rabi,Banana,Clay,8.78,84.1,27.4,3.87
Coimbatore,Kharif,Chilli,Clay,9.41,89.8,19.3,2.38
Thanjavur,Summer,Millets,Loamy,11.83,49.8,35.9,1.06
Thanjavur,Rabi,Chilli,Loamy,3.82,150.6,23.5,3.31
Cuddalore,Summer,Rice,Alluvial,6.73,85.7,36.2,2.95
Kancheepuram,Rabi,Sesame,Loamy,0.71,138.7,23.9,0.55
Erode,Summer,Coconut,Alluvial,11.39,46.0,23.8,3.3
Cuddalore,Kharif,Banana,Black,5.17,157.6,30.9,4.26
Dindigul,Rabi,Sugarcane,Alluvial,5.05,99.6,41.0,4.34
Villupuram,Rabi,Green Gram,Clay,10.43,30.5,28.8,1.01
Erode,Rabi,Coconut,Clay,10.73,117.3,21.0,3.23
Dindigul,Rabi,Banana,Black,8.82,48.8,23.2,3.61
Kancheepuram,Rabi,Sunflower,Clay,3.72,25.2,19.4,1.29
Tiruppur,Kharif,Millets,Black,2.32,67.9,41.0,1.5
Tirunelveli,Rabi,Rice,Black,1.17,142.9,40.7,2.55
Villupuram,Kharif,Sunflower,Red,1.47,221.0,32.5,0.74
Tiruppur,Kharif,Groundnut,Alluvial,4.55,199.9,37.3,0.64
Tirunelveli,Rabi,Coconut,Alluvial,6.14,82.0,30.9,3.16
Salem,Kharif,Cotton,Red,0.68,67.3,18.3,1.44
Dindigul,Rabi,Sesame,Black,5.33,132.6,28.3,0.79
Dindigul,Summer,Black Gram,Alluvial,7.07,14.1,24.2,0.91
Thoothukudi,Kharif,Ragi,Black,0.52,65.4,31.2,2.04
Dindigul,Rabi,Coconut,Red,11.0,113.3,37.9,2.41
Thoothukudi,Summer,Maize,Black,10.65,19.0,25.8,3.41
Salem,Summer,Banana,Clay,1.59,78.4,32.2,4.25
Kancheepuram,Rabi,Cotton,Black,6.89,74.8,32.8,1.41
Vellore,Kharif,Millets,Loamy,3.99,287.0,28.5,1.23
Kancheepuram,Rabi,Sesame,Clay,8.61,66.7,32.8,0.79
Coimbatore,Kharif,Turmeric,Alluvial,2.12,136.8,25.0,4.87
Tirunelveli,Summer,Black Gram,Red,9.31,12.6,32.1,1.17
Erode,Rabi,Turmeric,Red,10.53,147.6,23.3,4.55
Tiruppur,Kharif,Sugarcane,Loamy,6.66,317.8,26.0,7.2
Coimbatore,Summer,Coconut,Clay,2.34,28.7,22.2,3.31
Coimbatore,Summer,Black Gram,Black,7.63,98.6,26.7,1.28
Namakkal,Summer,Black Gram,Clay,8.54,107.9,31.2,0.66
Coimbatore,Kharif,Soybean,Alluvial,10.33,313.7,24.5,1.27
Thoothukudi,Rabi,Ragi,Loamy,10.32,80.1,24.2,1.83
Trichy,Rabi,Rice,Alluvial,8.21,124.0,40.7,2.87
Erode,Kharif,Maize,Clay,3.97,195.4,33.0,1.86
Erode,Kharif,Coconut,Clay,1.38,249.9,40.1,2.68
Salem,Summer,Coconut,Loamy,5.83,12.4,22.0,2.89
Kancheepuram,Rabi,Ragi,Alluvial,3.1,143.3,39.0,1.16
Dindigul,Kharif,Sesame,Alluvial,7.45,112.3,31.8,0.8
Namakkal,Summer,Groundnut,Red,7.44,90.2,28.8,2.16
Villupuram,Rabi,Ragi,Loamy,8.15,145.6,25.1,1.69
Cuddalore,Kharif,Maize,Loamy,1.76,178.8,39.1,2.05
Thoothukudi,Summer,Maize,Black,11.79,75.0,41.0,2.02
Dindigul,Rabi,Sunflower,Clay,5.85,40.7,36.6,0.57
Tiruppur,Kharif,Ragi,Red,3.89,101.5,20.3,2.79
Villupuram,Summer,Banana,Black,2.93,43.3,33.8,2.84
Coimbatore,Rabi,Banana,Red,1.27,65.3,29.4,3.45
Salem,Summer,Chilli,Clay,3.54,84.9,32.1,2.46
Salem,Kharif,Rice,Red,10.39,78.4,23.7,3.5
Cuddalore,Kharif,Green Gram,Red,3.69,213.1,21.2,0.84
Erode,Rabi,Chilli,Alluvial,1.16,92.8,33.3,2.95
Thoothukudi,Kharif,Green Gram,Clay,9.23,298.8,35.0,0.47
Salem,Kharif,Cotton,Loamy,6.41,100.0,21.0,1.44
Tiruppur,Kharif,Banana,Black,8.81,133.4,26.0,5.17
Thoothukudi,Kharif,Groundnut,Clay,11.6,266.3,31.7,1.24
Trichy,Rabi,Ragi,Loamy,9.43,61.7,36.0,1.46
Villupuram,Kharif,Ragi,Alluvial,11.77,132.4,24.5,1.96
Cuddalore,Rabi,Green Gram,Clay,2.04,56.6,37.0,1.12
Erode,Rabi,Green Gram,Red,7.25,64.7,35.7,1.05
Salem,Kharif,Chilli,Alluvial,10.91,193.0,40.3,1.05
Dindigul,Rabi,Black Gram,Red,6.07,80.3,19.4,1.18
Villupuram,Rabi,Ragi,Black,7.26,100.6,39.3,1.62
Salem,Summer,Millets,Alluvial,10.89,44.9,35.8,1.42
Dindigul,Rabi,Coconut,Red,3.57,102.4,23.5,3.72
Cuddalore,Summer,Black Gram,Black,6.4,108.9,39.4,0.86
Thanjavur,Rabi,Ragi,Red,1.94,111.7,24.3,2.71
Thoothukudi,Summer,Groundnut,Red,10.16,94.6,36.8,1.06
Erode,Rabi,Chilli,Alluvial,3.02,76.6,32.0,3.06
Madurai,Summer,Sugarcane,Clay,10.03,18.2,19.5,3.9
Tirunelveli,Rabi,Maize,Black,11.43,106.6,29.4,3.76
Namakkal,Summer,Turmeric,Loamy,10.7,15.4,30.7,2.77
Cuddalore,Summer,Sunflower,Clay,10.66,45.3,36.4,0.7
Thanjavur,Rabi,Green Gram,Alluvial,11.41,117.1,22.8,0.91
Tiruppur,Kharif,Millets,Alluvial,4.84,161.8,18.3,0.54
Cuddalore,Rabi,Soybean,Black,6.75,20.0,29.8,1.79
Villupuram,Kharif,Soybean,Loamy,5.79,84.3,37.1,0.96
Namakkal,Kharif,Maize,Black,8.49,223.9,25.2,2.19
Dindigul,Rabi,Chilli,Alluvial,2.34,130.0,40.6,0.82
Kancheepuram,Kharif,Ragi,Red,9.68,116.2,29.1,1.74
Namakkal,Kharif,Cotton,Clay,9.33,111.9,25.9,1.67
Erode,Summer,Black Gram,Red,6.12,105.5,23.1,0.86
Dindigul,Rabi,Soybean,Loamy,2.48,41.9,37.9,0.75
Thanjavur,Summer,Sesame,Alluvial,1.99,26.5,21.3,0.37
Thanjavur,Summer,Black Gram,Red,10.84,76.7,21.2,0.59
Namakkal,Kharif,Groundnut,Clay,1.54,243.2,39.9,0.88
Dindigul,Summer,Sesame,Red,0.79,96.1,38.9,0.37
Cuddalore,Summer,Groundnut,Red,8.03,61.9,26.7,1.85
Tiruppur,Rabi,Turmeric,Alluvial,5.61,26.1,27.6,3.91
Tiruppur,Rabi,Cotton,Black,2.99,24.8,34.2,1.49
Vellore,Summer,Chilli,Alluvial,1.4,45.2,22.6,2.17
Thoothukudi,Kharif,Coconut,Loamy,10.17,215.2,38.8,2.75
Coimbatore,Kharif,Soybean,Red,8.61,242.1,41.9,1.2
Thoothukudi,Rabi,Rice,Alluvial,11.48,132.6,25.0,3.8
Tirunelveli,Kharif,Sugarcane,Clay,2.74,81.3,31.7,4.9
Erode,Summer,Sunflower,Clay,9.86,88.8,23.8,1.49
Thoothukudi,Rabi,Coconut,Loamy,6.4,149.8,31.7,2.96
Tiruppur,Summer,Black Gram,Red,3.87,20.4,29.4,0.98
Madurai,Rabi,Millets,Red,11.12,102.0,37.0,1.02
Coimbatore,Summer,Cotton,Red,2.02,87.0,24.4,2.16
Cuddalore,Summer,Millets,Red,3.44,46.2,41.1,0.84
Thanjavur,Rabi,Turmeric,Red,5.66,50.8,21.0,4.76
Namakkal,Summer,Cotton,Black,8.59,33.5,18.1,1.08
Tiruppur,Kharif,Sugarcane,Alluvial,5.3,187.9,34.5,5.92
Salem,Rabi,Cotton,Loamy,9.65,145.8,31.5,0.8
Vellore,Kharif,Banana,Black,1.89,102.1,31.7,4.36
Thoothukudi,Summer,Soybean,Black,4.52,74.6,20.8,2.11
Salem,Rabi,Groundnut,Loamy,2.92,72.1,37.6,1.58
Thanjavur,Summer,Groundnut,Alluvial,4.55,44.3,40.0,0.97
Madurai,Kharif,Ragi,Loamy,4.49,290.7,29.9,0.59
Erode,Summer,Coconut,Loamy,1.94,60.3,31.8,2.75
Thoothukudi,Rabi,Groundnut,Clay,3.53,141.0,41.8,1.1
Salem,Kharif,Rice,Black,6.29,135.2,37.6,2.24
Dindigul,Kharif,Banana,Clay,9.82,153.3,30.2,4.46
Erode,Summer,Black Gram,Alluvial,7.33,77.2,34.6,0.99
Dindigul,Kharif,Chilli,Red,10.29,104.1,21.9,2.45
Thoothukudi,Rabi,Soybean,Black,5.14,93.8,41.6,0.49
Vellore,Rabi,Turmeric,Loamy,0.78,24.1,19.7,3.52
Tirunelveli,Kharif,Cotton,Loamy,10.55,139.4,35.7,1.71
Coimbatore,Summer,Black Gram,Clay,0.53,80.2,29.3,1.06
Thanjavur,Kharif,Sugarcane,Clay,11.65,260.0,18.2,3.96
Salem,Rabi,Sugarcane,Black,2.71,58.7,25.7,6.33
Madurai,Summer,Banana,Black,4.21,11.7,19.3,3.3
Thanjavur,Rabi,Millets,Black,8.57,116.8,18.1,1.5
Villupuram,Summer,Banana,Alluvial,4.46,50.5,32.2,3.78
Tirunelveli,Rabi,Black Gram,Black,0.87,152.7,34.8,1.29
Trichy,Rabi,Cotton,Alluvial,9.37,131.7,40.4,0.96
Villupuram,Summer,Ragi,Black,10.77,65.8,31.4,2.12
Coimbatore,Kharif,Soybean,Red,0.96,136.4,18.5,2.1
Erode,Rabi,Ragi,Clay,5.57,122.8,20.9,2.33
Trichy,Kharif,Sunflower,Red,6.59,155.8,27.7,1.27
Namakkal,Kharif,Rice,Loamy,6.93,233.7,26.5,5.28
Tirunelveli,Rabi,Soybean,Black,2.61,71.9,21.4,1.6
Trichy,Rabi,Ragi,Black,5.02,115.0,19.0,2.2
Dindigul,Rabi,Chilli,Black,0.76,76.6,34.8,2.3
Erode,Rabi,Ragi,Red,9.9,115.6,19.8,1.95
Thoothukudi,Summer,Turmeric,Loamy,11.87,70.9,39.1,1.78
Cuddalore,Kharif,Black Gram,Clay,7.64,100.9,24.9,1.17
Tirunelveli,Rabi,Cotton,Alluvial,5.42,78.9,27.8,2.03
Trichy,Summer,Sunflower,Loamy,2.92,73.9,26.5,0.92
Vellore,Summer,Turmeric,Black,0.55,86.2,37.2,2.55
Thanjavur,Rabi,Coconut,Black,4.93,150.6,24.9,3.62
Salem,Kharif,Banana,Alluvial,2.03,242.4,18.3,3.98
Tiruppur,Rabi,Sunflower,Black,5.54,42.1,21.4,1.46
Coimbatore,Rabi,Groundnut,Loamy,5.94,126.5,28.5,1.96
Namakkal,Rabi,Sugarcane,Red,7.75,70.3,20.0,4.0
Namakkal,Rabi,Sunflower,Clay,10.77,130.2,31.0,0.99
Coimbatore,Kharif,Maize,Red,11.96,262.7,26.5,2.73
Coimbatore,Kharif,Green Gram,Alluvial,2.24,315.0,30.2,0.73
Coimbatore,Summer,Green Gram,Red,7.11,82.8,38.5,1.19
Madurai,Kharif,Sunflower,Red,7.56,185.7,24.9,1.22
Coimbatore,Kharif,Maize,Alluvial,7.22,162.9,23.8,3.63
Madurai,Summer,Groundnut,Loamy,4.12,10.7,32.6,1.62
Namakkal,Kharif,Maize,Loamy,2.45,69.4,23.7,3.65
Madurai,Summer,Coconut,Black,8.12,67.0,24.9,3.11
Vellore,Rabi,Groundnut,Clay,3.44,35.7,29.0,2.01
Vellore,Kharif,Sesame,Alluvial,11.8,316.5,28.5,0.4
Cuddalore,Kharif,Coconut,Black,11.64,90.8,24.6,3.44
Tiruppur,Kharif,Black Gram,Loamy,6.14,68.1,21.6,1.02
Cuddalore,Kharif,Millets,Red,8.82,187.2,25.1,1.44
Villupuram,Summer,Sugarcane,Clay,3.58,73.8,37.4,4.54
Tiruppur,Summer,Sunflower,Black,4.47,48.6,18.4,1.35
Salem,Summer,Sunflower,Clay,10.35,13.7,36.3,0.79
Thanjavur,Kharif,Black Gram,Loamy,11.14,73.3,29.3,1.3
Salem,Kharif,Sugarcane,Clay,11.3,155.5,18.3,4.47
Salem,Summer,Turmeric,Alluvial,8.03,104.5,33.1,2.85
Thoothukudi,Kharif,Rice,Black,4.75,101.0,38.0,2.49
Trichy,Summer,Turmeric,Black,9.25,35.7,20.4,2.85
Thanjavur,Rabi,Black Gram,Alluvial,7.39,26.5,26.7,1.11
Trichy,Rabi,Rice,Loamy,3.57,20.4,35.4,3.19
Thoothukudi,Rabi,Turmeric,Red,3.36,79.8,39.7,2.36
Namakkal,Kharif,Cotton,Clay,11.15,251.3,23.8,0.96
